Symbol,Name,Sector,MarketCap
MMM,3M,Industrials,81847754752.0
AOS,A. O. Smith,Industrials,9012525056.0
ABT,Abbott Laboratories,Health Care,198276448256.0
ABBV,AbbVie,Health Care,266967531520.0
ABMD,Abiomed,Health Care,10726035456.0
ACN,Accenture,Information Technology,174983610368.0
ATVI,Activision Blizzard,Communication Services,60286013440.0
ADM,ADM,Consumer Staples,46993047552.0
ADBE,Adobe,Information Technology,189887021056.0
AAP,Advance Auto Parts,Consumer Discretionary,11341787136.0
AMD,Advanced Micro Devices,Information Technology,112911532032.0
AES,AES Corp,Utilities,13687639040.0
AFL,Aflac,Financials,36443578368.0
A,Agilent Technologies,Health Care,37789384704.0
APD,Air Products & Chemicals,Materials,52669898752.0
AKAM,Akamai Technologies,Information Technology,15843425280.0
ALK,Alaska Air Group,Industrials,5776837120.0
ALB,Albemarle Corporation,Materials,27657805824.0
ARE,Alexandria Real Estate Equities,Real Estate,24749301760.0
ALGN,Align Technology,Health Care,21687758848.0
ALLE,Allegion,Industrials,9784029184.0
LNT,Alliant Energy,Utilities,14688678912.0
ALL,Allstate Corp,Financials,35269746688.0
GOOGL,Alphabet (Class A),Communication Services,1445864800256.0
GOOG,Alphabet (Class C),Communication Services,1451071111168.0
MO,Altria Group,Consumer Staples,93851820032.0
AMZN,Amazon,Consumer Discretionary,1091291250688.0
AMCR,Amcor,Materials,19823888384.0
AEE,Ameren Corp,Utilities,23864619008.0
AAL,American Airlines Group,Industrials,10528577536.0
AEP,American Electric Power,Utilities,49490083840.0
AXP,American Express,Financials,118692970496.0
AIG,American International Group,Financials,46181171200.0
AMT,American Tower,Real Estate,111248531456.0
AWK,American Water Works,Utilities,26426488832.0
AMP,Ameriprise Financial,Financials,28644960256.0
ABC,AmerisourceBergen,Health Care,31257411584.0
AME,Ametek,Industrials,27148300288.0
AMGN,Amgen,Health Care,139408326656.0
APH,Amphenol,Information Technology,40923058176.0
ADI,Analog Devices,Information Technology,85334769664.0
ANSS,Ansys,Information Technology,22000842752.0
ANTM,Anthem,Health Care,119622090752.0
AON,Aon,Financials,57883418624.0
APA,APA Corporation,Energy,
AAPL,Apple,Information Technology,2257356587008.0
AMAT,Applied Materials,Information Technology,94591098880.0
APTV,Aptiv,Consumer Discretionary,25314699264.0
ANET,Arista Networks,Information Technology,31541272576.0
AJG,Arthur J. Gallagher & Co.,Financials,32128090112.0
AIZ,Assurant,Financials,10037584896.0
T,AT&T,Communication Services,145676402688.0
ATO,Atmos Energy,Utilities,14823148544.0
ADSK,Autodesk,Information Technology,42105032704.0
ADP,Automatic Data Processing,Information Technology,87917559808.0
AZO,AutoZone,Consumer Discretionary,35165900800.0
AVB,AvalonBay Communities,Real Estate,28096425984.0
AVY,Avery Dennison,Materials,13619875840.0
BKR,Baker Hughes,Energy,30057394176.0
BLL,Ball Corp,Materials,22507395072.0
BAC,Bank of America,Financials,277112946688.0
BBWI,Bath & Body Works Inc.,Consumer Discretionary,9971302400.0
BAX,Baxter International,Health Care,36665749504.0
BDX,Becton Dickinson,Health Care,71916355584.0
BRK.B,Berkshire Hathaway,Financials,
BBY,Best Buy,Consumer Discretionary,17406994432.0
