,Parent,MarketCap,Symbol,Name
0,Communication Services,4807310994432.0,Communication Services,Communication Services
1,Consumer Discretionary,3738717156864.0,Consumer Discretionary,Consumer Discretionary
2,Consumer Staples,2459328686080.0,Consumer Staples,Consumer Staples
3,Energy,1585136879616.0,Energy,Energy
4,Financials,3199953191424.0,Financials,Financials
5,Health Care,5042635344384.0,Health Care,Health Care
6,Industrials,2755509497344.0,Industrials,Industrials
7,Information Technology,8654242788352.0,Information Technology,Information Technology
8,Materials,955602780160.0,Materials,Materials
9,Real Estate,929695896576.0,Real Estate,Real Estate
10,Utilities,986411783680.0,Utilities,Utilities
11,Industrials,81847754752.0,MMM,3M
12,Industrials,9012525056.0,AOS,A. O. Smith
13,Health Care,198276448256.0,ABT,Abbott Laboratories
14,Health Care,266967531520.0,ABBV,AbbVie
15,Health Care,10726035456.0,ABMD,Abiomed
16,Information Technology,174983610368.0,ACN,Accenture
17,Communication Services,60286013440.0,ATVI,Activision Blizzard
18,Consumer Staples,46993047552.0,ADM,ADM
19,Information Technology,189887021056.0,ADBE,Adobe
20,Consumer Discretionary,11341787136.0,AAP,Advance Auto Parts
21,Information Technology,112911532032.0,AMD,Advanced Micro Devices
22,Utilities,13687639040.0,AES,AES Corp
23,Financials,36443578368.0,AFL,Aflac
24,Health Care,37789384704.0,A,Agilent Technologies
25,Materials,52669898752.0,APD,Air Products & Chemicals
26,Information Technology,15843425280.0,AKAM,Akamai Technologies
27,Industrials,5776837120.0,ALK,Alaska Air Group
28,Materials,27657805824.0,ALB,Albemarle Corporation
29,Real Estate,24749301760.0,ARE,Alexandria Real Estate Equities
30,Health Care,21687758848.0,ALGN,Align Technology
31,Industrials,9784029184.0,ALLE,Allegion
32,Utilities,14688678912.0,LNT,Alliant Energy
33,Financials,35269746688.0,ALL,Allstate Corp
34,Communication Services,1445864800256.0,GOOGL,Alphabet (Class A)
35,Communication Services,1451071111168.0,GOOG,Alphabet (Class C)
36,Consumer Staples,93851820032.0,MO,Altria Group
37,Consumer Discretionary,1091291250688.0,AMZN,Amazon
38,Materials,19823888384.0,AMCR,Amcor
39,Utilities,23864619008.0,AEE,Ameren Corp
40,Industrials,10528577536.0,AAL,American Airlines Group
41,Utilities,49490083840.0,AEP,American Electric Power
42,Financials,118692970496.0,AXP,American Express
43,Financials,46181171200.0,AIG,American International Group
44,Real Estate,111248531456.0,AMT,American Tower
45,Utilities,26426488832.0,AWK,American Water Works
46,Financials,28644960256.0,AMP,Ameriprise Financial
47,Health Care,31257411584.0,ABC,AmerisourceBergen
48,Industrials,27148300288.0,AME,Ametek
49,Health Care,139408326656.0,AMGN,Amgen
50,Information Technology,40923058176.0,APH,Amphenol
51,Information Technology,85334769664.0,ADI,Analog Devices
52,Information Technology,22000842752.0,ANSS,Ansys
53,Health Care,119622090752.0,ANTM,Anthem
54,Financials,57883418624.0,AON,Aon
55,Information Technology,2257356587008.0,AAPL,Apple
